"Species","Transcript_ID","Family","Superfamily"
"pristionchus_pacificus","PPA01334","sre","Sra"
"haemonchus_contortus","HCON_00151110","sra","Sra"
"panagrellus_redivivus","Pan_g13768.t1","srab","Sra"
"caenorhabditis_elegans","ZC132.7","srh","Str"
"pristionchus_pacificus","PPA04566","sri","Str"
"caenorhabditis_elegans","F07C4.4","srd","Str"
"caenorhabditis_elegans","Y39H10B.1a","str","Str"
"caenorhabditis_elegans","Y46H3C.1a","srw","Solo"
"ascaris_suum","AgB22X_g027_t02","srxa","Srg"
"caenorhabditis_elegans","F35F10.2","srbc","Solo"
"pristionchus_pacificus","PPA41515","srsx","Solo"
"pristionchus_pacificus","PPA40403","srg","Srg"
"ancylostoma_caninum","ANCCAN_05107","srt","Srg"
"haemonchus_contortus","HCON_00154725","srx","Srg"
"caenorhabditis_elegans","C41C4.2","sre","Sra"
"panagrellus_redivivus","Pan_g1370.t1","srab","Sra"
"caenorhabditis_elegans","F47D2.9","srh","Str"
"pristionchus_pacificus","PPA41209","sri","Str"
"caenorhabditis_elegans","F07C4.3","srd","Str"
"caenorhabditis_elegans","F07B10.3","str","Str"
"caenorhabditis_elegans","Y46H3C.1b","srw","Solo"
"haemonchus_contortus","HCON_00060950","srxa","Srg"
"caenorhabditis_elegans","C18B10.5","srbc","Solo"
"pristionchus_pacificus","PPA41545","srsx","Solo"
"caenorhabditis_elegans","Y51A2D.12","srg","Srg"
"angiostrongylus_cantonensis","ACAC_0001187201","srt","Srg"
"pristionchus_pacificus","PPA11920","srx","Srg"
"pristionchus_pacificus","PPA40284","sre","Sra"
"nippostrongylus_brasiliensis","NBR_0001231101","srab","Sra"
"caenorhabditis_elegans","F47D2.10b","srh","Str"
"pristionchus_pacificus","PPA40504","sri","Str"
"caenorhabditis_elegans","T02B5.4","srd","Str"
"caenorhabditis_elegans","F07B10.2","str","Str"
"caenorhabditis_elegans","R11G11.13","srw","Solo"
"angiostrongylus_cantonensis","ACAC_0000133601","srxa","Srg"
"caenorhabditis_elegans","C18B10.4","srbc","Solo"
"panagrellus_redivivus","Pan_g14635.t1","srsx","Solo"
"caenorhabditis_elegans","K04C1.6","srg","Srg"
"pristionchus_pacificus","PPA42380","srt","Srg"
"pristionchus_pacificus","PPA36350","srx","Srg"
"caenorhabditis_elegans","B0495.1","sre","Sra"
"nippostrongylus_brasiliensis","NBR_0001481401","srab","Sra"
"caenorhabditis_elegans","R52.7","srh","Str"
"pristionchus_pacificus","PPA40929","sri","Str"
"caenorhabditis_elegans","M01B2.2","srd","Str"
"caenorhabditis_elegans","F10D2.4","str","Str"
"caenorhabditis_elegans","ZK488.9","srw","Solo"
"panagrellus_redivivus","Pan_g13999.t1","srxa","Srg"
"caenorhabditis_elegans","C18B10.3","srbc","Solo"
"panagrellus_redivivus","Pan_g14636.t1","srsx","Solo"
"caenorhabditis_elegans","K04C1.1","srg","Srg"
"pristionchus_pacificus","PPA40618","srt","Srg"
"pristionchus_pacificus","PPA07910","srx","Srg"
"strongyloides_ratti","SRAE_2000498600","sre","Sra"
"panagrellus_redivivus","Pan_g3574.t1","srab","Sra"
"caenorhabditis_elegans","C17E7.2","srh","Str"
"caenorhabditis_elegans","T22H2.1","sri","Str"
"caenorhabditis_elegans","T26E4.12","srd","Str"
"caenorhabditis_elegans","T23D5.9","str","Str"
"caenorhabditis_elegans","ZK697.13a","srw","Solo"
"angiostrongylus_cantonensis","ACAC_0000301601","srxa","Srg"
"caenorhabditis_elegans","C36C5.3","srbc","Solo"
"panagrellus_redivivus","Pan_g14637.t1","srsx","Solo"
"pristionchus_pacificus","PPA36663","srg","Srg"
"pristionchus_pacificus","PPA14311","srt","Srg"
"pristionchus_pacificus","PPA41691","srx","Srg"
"ascaris_suum","AgR001_g422_t01","sre","Sra"
"toxocara_canis","Tcan_08158.1","srab","Sra"
"caenorhabditis_elegans","C50H11.7","srh","Str"
"caenorhabditis_elegans","T22H2.3","sri","Str"
"caenorhabditis_elegans","Y40H7A.5","srd","Str"
"caenorhabditis_elegans","C42D4.4","str","Str"
"caenorhabditis_elegans","Y46H3C.2a","srw","Solo"
"rhabditophanes_kr3021","RSKR_0001171000.1","srxa","Srg"
"caenorhabditis_elegans","C18B10.1","srbc","Solo"
"panagrellus_redivivus","Pan_g14027.t1","srsx","Solo"
"pristionchus_pacificus","PPA17135","srg","Srg"
"panagrellus_redivivus","Pan_g21575.t1","srt","Srg"
"pristionchus_pacificus","PPA40800","srx","Srg"
"toxocara_canis","Tcan_10817.1","sre","Sra"
"strongyloides_ratti","SRAE_2000482900","srab","Sra"
"caenorhabditis_elegans","F36G9.2","srh","Str"
"caenorhabditis_elegans","C54E10.4","sri","Str"
"caenorhabditis_elegans","W06G6.3","srd","Str"
"caenorhabditis_elegans","T09F5.3","str","Str"
"caenorhabditis_elegans","T06G6.7","srw","Solo"
"brugia_malayi","Bm4504","srxa","Srg"
"caenorhabditis_elegans","C18B10.2","srbc","Solo"
"panagrellus_redivivus","Pan_g14994.t1","srsx","Solo"
"pristionchus_pacificus","PPA00985","srg","Srg"
"panagrellus_redivivus","Pan_g9544.t1","srt","Srg"
"pristionchus_pacificus","PPA41561","srx","Srg"
"pristionchus_pacificus","PPA23254","sre","Sra"
"caenorhabditis_elegans","R10H1.2a","srab","Sra"
"caenorhabditis_elegans","F37B4.1","srh","Str"
"caenorhabditis_elegans","T06E6.4","sri","Str"
"caenorhabditis_elegans","B0547.4a","srd","Str"
"caenorhabditis_elegans","C34D4.8","str","Str"
"caenorhabditis_elegans","Y46H3C.3","srw","Solo"
"necator_americanus","NECAME_05022","srxa","Srg"
"caenorhabditis_elegans","Y5H2B.4","srbc","Solo"
"panagrellus_redivivus","Pan_g12078.t1","srsx","Solo"
"pristionchus_pacificus","PPA39340","srg","Srg"
"panagrellus_redivivus","Pan_g5697.t1","srt","Srg"
"pristionchus_pacificus","PPA38955","srx","Srg"
"pristionchus_pacificus","PPA40475","sre","Sra"
"pristionchus_pacificus","PPA23283","srab","Sra"
"caenorhabditis_elegans","T20B3.5","srh","Str"
"caenorhabditis_elegans","T09E8.5a","sri","Str"
"caenorhabditis_elegans","C06G8.4","srd","Str"
"caenorhabditis_elegans","F07C4.1","str","Str"
"caenorhabditis_elegans","H06H21.1","srw","Solo"
"pristionchus_pacificus","PPA14598","srxa","Srg"
"caenorhabditis_elegans","C45H4.8","srbc","Solo"
"panagrellus_redivivus","Pan_g7257.t1","srsx","Solo"
"pristionchus_pacificus","PPA42041","srg","Srg"
"panagrellus_redivivus","Pan_g1079.t1","srt","Srg"
"pristionchus_pacificus","PPA40545","srx","Srg"
"pristionchus_pacificus","PPA03069","sre","Sra"
"toxocara_canis","Tcan_07130.1","srab","Sra"
"caenorhabditis_elegans","Y113G7B.2","srh","Str"
"caenorhabditis_elegans","M01G12.13","sri","Str"
"caenorhabditis_elegans","T19E7.5","srd","Str"
"caenorhabditis_elegans","C14H10.4","str","Str"
"caenorhabditis_elegans","H06H21.2","srw","Solo"
"strongyloides_ratti","SRAE_2000380600","srxa","Srg"
"caenorhabditis_elegans","C45H4.7","srbc","Solo"
"meloidogyne_hapla","MhA1_Contig840.frz3.gene1","srsx","Solo"
"pristionchus_pacificus","PPA11785","srg","Srg"
"rhabditophanes_kr3021","RSKR_0000542100.1","srt","Srg"
"pristionchus_pacificus","PPA36081","srx","Srg"
"pristionchus_pacificus","PPA40955","sre","Sra"
"pristionchus_pacificus","PPA23966","srab","Sra"
"caenorhabditis_elegans","T20B3.3","srh","Str"
"caenorhabditis_elegans","M01G12.1","sri","Str"
"caenorhabditis_elegans","F53F4.9a","srd","Str"
"caenorhabditis_elegans","Y19D10A.13","str","Str"
"caenorhabditis_elegans","K04F1.3a","srw","Solo"
"haemonchus_contortus","HCON_00147750","srxa","Srg"
"caenorhabditis_elegans","C45H4.9","srbc","Solo"
"meloidogyne_hapla","MhA1_Contig13.frz3.fgene1","srsx","Solo"
"pristionchus_pacificus","PPA41070","srg","Srg"
"rhabditophanes_kr3021","RSKR_0000263366.1","srt","Srg"
"pristionchus_pacificus","PPA20838","srx","Srg"
"pristionchus_pacificus","PPA42235","sre","Sra"
"haemonchus_contortus","HCON_00062050","srab","Sra"
"caenorhabditis_elegans","T20B3.4","srh","Str"
"caenorhabditis_elegans","F15H9.3","sri","Str"
"caenorhabditis_elegans","C39H7.6","srd","Str"
"caenorhabditis_elegans","T23F1.4","str","Str"
"caenorhabditis_elegans","ZC204.15","srw","Solo"
"caenorhabditis_elegans","ZC455.8a","srbc","Solo"
"meloidogyne_hapla","MhA1_Contig247.frz3.gene1","srsx","Solo"
"pristionchus_pacificus","PPA01179","srg","Srg"
"rhabditophanes_kr3021","RSKR_0001041550.1","srt","Srg"
"pristionchus_pacificus","PPA12284","srx","Srg"
"pristionchus_pacificus","PPA40780","sre","Sra"
"dictyocaulus_viviparus","DICVIV_09090","srab","Sra"
"caenorhabditis_elegans","F47C12.10","srh","Str"
"caenorhabditis_elegans","F15H9.4","sri","Str"
"caenorhabditis_elegans","C39H7.7","srd","Str"
"caenorhabditis_elegans","F26D2.1","str","Str"
"caenorhabditis_elegans","K04F1.4","srw","Solo"
"caenorhabditis_elegans","ZC455.9","srbc","Solo"
"meloidogyne_hapla","MhA1_Contig926.frz3.gene3","srsx","Solo"
"pristionchus_pacificus","PPA38833","srg","Srg"
"rhabditophanes_kr3021","RSKR_0000588866.1","srt","Srg"
"strongyloides_ratti","SRAE_0000012400","srx","Srg"
"pristionchus_pacificus","PPA23265","sre","Sra"
"nippostrongylus_brasiliensis","NBR_0001446501","srab","Sra"
"caenorhabditis_elegans","F47C12.3","srh","Str"
"caenorhabditis_elegans","F15H9.2","sri","Str"
"caenorhabditis_elegans","Y45F10B.14","srd","Str"
"caenorhabditis_elegans","Y73C8C.5","str","Str"
"caenorhabditis_elegans","R10D12.17","srw","Solo"
"caenorhabditis_elegans","C02A12.2","srbc","Solo"
"meloidogyne_hapla","MhA1_Contig2523.frz3.gene1","srsx","Solo"
"caenorhabditis_elegans","Y43B11AR.5","srg","Srg"
"rhabditophanes_kr3021","RSKR_0001002050.1","srt","Srg"
"strongyloides_ratti","SRAE_1000256800","srx","Srg"
"pristionchus_pacificus","PPA30123","sre","Sra"
"pristionchus_pacificus","PPA39267","srab","Sra"
"caenorhabditis_elegans","C35D6.1","srh","Str"
"caenorhabditis_elegans","F28D9.2a","sri","Str"
"angiostrongylus_cantonensis","ACAC_0000362901","srd","Str"
"caenorhabditis_elegans","K10C9.6","str","Str"
"caenorhabditis_elegans","F18E3.2","srw","Solo"
"caenorhabditis_elegans","C02A12.3","srbc","Solo"
"syphacia_muris","SMUV_0000608201","srsx","Solo"
"caenorhabditis_elegans","Y43B11AR.2","srg","Srg"
"rhabditophanes_kr3021","RSKR_0000390316.1","srt","Srg"
"rhabditophanes_kr3021","RSKR_0000393300.1","srx","Srg"
"caenorhabditis_elegans","C42C1.1","sre","Sra"
"pristionchus_pacificus","PPA03781","srab","Sra"
"caenorhabditis_elegans","C35D6.2","srh","Str"
"caenorhabditis_elegans","Y22F5A.2","sri","Str"
"necator_americanus","NECAME_02331","srd","Str"
"caenorhabditis_elegans","Y73C8C.6a","str","Str"
"caenorhabditis_elegans","Y57G7A.4","srw","Solo"
"caenorhabditis_elegans","C02A12.9","srbc","Solo"
"toxocara_canis","Tcan_00200.1","srsx","Solo"
"caenorhabditis_elegans","T02B11.1","srg","Srg"
"rhabditophanes_kr3021","RSKR_0000142133.1","srt","Srg"
"ascaris_suum","AgR058_g011_t01","srx","Srg"
"caenorhabditis_elegans","C38C6.4","sre","Sra"
"romanomermis_culicivorax","nRc.2.0.1.t14051","srab","Sra"
"caenorhabditis_elegans","C06B8.10","srh","Str"
"caenorhabditis_elegans","D2062.3","sri","Str"
"caenorhabditis_elegans","Y38A10A.1","srd","Str"
"caenorhabditis_elegans","T28A11.1","str","Str"
"caenorhabditis_elegans","F18E3.4b","srw","Solo"
"caenorhabditis_elegans","Y49C4A.1","srbc","Solo"
"toxocara_canis","Tcan_05937.1","srsx","Solo"
"caenorhabditis_elegans","Y40H7A.8","srg","Srg"
"rhabditophanes_kr3021","RSKR_0000407650.1","srt","Srg"
"toxocara_canis","Tcan_03626.1","srx","Srg"
"caenorhabditis_elegans","Y39C12A.3b","sre","Sra"
"romanomermis_culicivorax","nRc.2.0.1.t06159","srab","Sra"
"caenorhabditis_elegans","Y59A8A.4","srh","Str"
"caenorhabditis_elegans","F33H12.4","sri","Str"
"caenorhabditis_elegans","F53F1.11","srd","Str"
"caenorhabditis_elegans","C17B7.1","str","Str"
"caenorhabditis_elegans","F18E3.5","srw","Solo"
"caenorhabditis_elegans","Y49C4A.3","srbc","Solo"
"ascaris_suum","AgR012_g101_t02","srsx","Solo"
"caenorhabditis_elegans","F32H5.5","srg","Srg"
"rhabditophanes_kr3021","RSKR_0000483450.1","srt","Srg"
"brugia_malayi","Bm2750","srx","Srg"
"caenorhabditis_elegans","Y39C12A.6","sre","Sra"
"romanomermis_culicivorax","nRc.2.0.1.t44501","srab","Sra"
"caenorhabditis_elegans","Y94A7B.5","srh","Str"
"caenorhabditis_elegans","D2062.9","sri","Str"
"caenorhabditis_elegans","Y2H9A.2","srd","Str"
"caenorhabditis_elegans","F14F8.1","str","Str"
"caenorhabditis_elegans","T11F1.1","srw","Solo"
"caenorhabditis_elegans","Y49C4A.2","srbc","Solo"
"onchocerca_volvulus","OVOC9675","srsx","Solo"
"ancylostoma_caninum","ANCCAN_16812","srg","Srg"
"rhabditophanes_kr3021","RSKR_0001044775.1","srt","Srg"
"onchocerca_volvulus","OVOC7106","srx","Srg"
"caenorhabditis_elegans","Y39C12A.5","sre","Sra"
"romanomermis_culicivorax","nRc.2.0.1.t15631","srab","Sra"
"caenorhabditis_elegans","Y94A7B.6","srh","Str"
"caenorhabditis_elegans","C14C6.11","sri","Str"
"caenorhabditis_elegans","C04E6.9","srd","Str"
"caenorhabditis_elegans","F26D2.7","str","Str"
"caenorhabditis_elegans","T05A6.6","srw","Solo"
"caenorhabditis_elegans","C02A12.10","srbc","Solo"
"onchocerca_volvulus","OVOC12736","srsx","Solo"
"caenorhabditis_elegans","W09D12.3","srg","Srg"
"rhabditophanes_kr3021","RSKR_0000922250.1","srt","Srg"
"haemonchus_contortus","HCON_00026650","srx","Srg"
"caenorhabditis_elegans","C17E7.3a","sre","Sra"
"haemonchus_contortus","HCON_00028730","srab","Sra"
"caenorhabditis_elegans","K08G2.9","srh","Str"
"caenorhabditis_elegans","C14C6.10a","sri","Str"
"caenorhabditis_elegans","C04E6.10","srd","Str"
"caenorhabditis_elegans","T06C12.2","str","Str"
"caenorhabditis_elegans","Y43F8A.4","srw","Solo"
"caenorhabditis_elegans","C02A12.5","srbc","Solo"
"onchocerca_volvulus","OVOC2071","srsx","Solo"
"caenorhabditis_elegans","W09D12.2","srg","Srg"
"rhabditophanes_kr3021","RSKR_0000568980.1","srt","Srg"
"nippostrongylus_brasiliensis","NBR_0000606101","srx","Srg"
"caenorhabditis_elegans","C07D10.3","sre","Sra"
"meloidogyne_hapla","MhA1_Contig7.frz3.gene23","srab","Sra"
"caenorhabditis_elegans","Y94A7B.9","srh","Str"
"caenorhabditis_elegans","Y102A5C.32","sri","Str"
"caenorhabditis_elegans","T09D3.1","srd","Str"
"caenorhabditis_elegans","T06C12.3","str","Str"
"caenorhabditis_elegans","W06G6.6","srw","Solo"
"caenorhabditis_elegans","C02A12.6","srbc","Solo"
"onchocerca_volvulus","OVOC3453","srsx","Solo"
"romanomermis_culicivorax","nRc.2.0.1.t27276","srg","Srg"
"rhabditophanes_kr3021","RSKR_0000675250.1","srt","Srg"
"ancylostoma_caninum","ANCCAN_09534","srx","Srg"
"ancylostoma_caninum","ANCCAN_12050","sre","Sra"
"panagrellus_redivivus","Pan_g10466.t1","srab","Sra"
"caenorhabditis_elegans","Y94A7B.7","srh","Str"
"caenorhabditis_elegans","Y61B8B.1","sri","Str"
"haemonchus_contortus","HCON_00140860","srd","Str"
"caenorhabditis_elegans","C31B8.6a","str","Str"
"caenorhabditis_elegans","W06G6.8","srw","Solo"
"caenorhabditis_elegans","F16B4.10","srbc","Solo"
"pristionchus_pacificus","PPA34690","srsx","Solo"
"caenorhabditis_elegans","R05D8.6","srg","Srg"
"rhabditophanes_kr3021","RSKR_0000729650.1","srt","Srg"
"ancylostoma_caninum","ANCCAN_00649","srx","Srg"
"caenorhabditis_elegans","T07H8.7","sre","Sra"
"syphacia_muris","SMUV_0000314001","srab","Sra"
"caenorhabditis_elegans","ZK1037.8","srh","Str"
"caenorhabditis_elegans","F28B1.6","sri","Str"
"haemonchus_contortus","HCON_00140900","srd","Str"
"caenorhabditis_elegans","C50H11.12","str","Str"
"caenorhabditis_elegans","F20E11.6","srw","Solo"
"caenorhabditis_elegans","H24O09.1a","srbc","Solo"
"caenorhabditis_elegans","F38E1.8","srsx","Solo"
"caenorhabditis_elegans","T05C3.8","srg","Srg"
"rhabditophanes_kr3021","RSKR_0001084625.1","srt","Srg"
"ascaris_suum","AgR035X_g035_t02","srx","Srg"
"caenorhabditis_elegans","T13F2.5","sre","Sra"
"toxocara_canis","Tcan_17180.1","srab","Sra"
"caenorhabditis_elegans","Y94A7B.4","srh","Str"
"caenorhabditis_elegans","Y60A3A.22a","sri","Str"
"haemonchus_contortus","HCON_00140920","srd","Str"
"caenorhabditis_elegans","R13D7.1","str","Str"
"caenorhabditis_elegans","ZK262.6","srw","Solo"
"toxocara_canis","Tcan_08970.1","srbc","Solo"
"caenorhabditis_elegans","C03G6.16","srsx","Solo"
"caenorhabditis_elegans","T05C3.7","srg","Srg"
"rhabditophanes_kr3021","RSKR_0000011550.1","srt","Srg"
"toxocara_canis","Tcan_12016.1","srx","Srg"
"caenorhabditis_elegans","B0212.2","sre","Sra"
"ascaris_suum","AgR055_g033_t02","srab","Sra"
"caenorhabditis_elegans","K08G2.8","srh","Str"
"caenorhabditis_elegans","F13A7.8","sri","Str"
"caenorhabditis_elegans","K10B4.5","srd","Str"
"caenorhabditis_elegans","F37B4.12","str","Str"
"caenorhabditis_elegans","ZK262.7","srw","Solo"
"toxocara_canis","Tcan_16759.1","srbc","Solo"
"caenorhabditis_elegans","Y62E10A.4a","srsx","Solo"
"caenorhabditis_elegans","ZC317.5","srg","Srg"
"rhabditophanes_kr3021","RSKR_0001063725.1","srt","Srg"
"toxocara_canis","Tcan_03615.1","srx","Srg"
"caenorhabditis_elegans","F40G12.1","sre","Sra"
"toxocara_canis","Tcan_02700.1","srab","Sra"
"caenorhabditis_elegans","C47A10.9","srh","Str"
"caenorhabditis_elegans","F22E5.16","sri","Str"
"caenorhabditis_elegans","F33H1.5","srd","Str"
"caenorhabditis_elegans","C50B6.12","str","Str"
"caenorhabditis_elegans","T11F1.5","srw","Solo"
"toxocara_canis","Tcan_13903.1","srbc","Solo"
"angiostrongylus_cantonensis","ACAC_0000987101","srsx","Solo"
"caenorhabditis_elegans","ZC317.4","srg","Srg"
"panagrellus_redivivus","Pan_g21533.t1","srt","Srg"
"brugia_malayi","Bm4872","srx","Srg"
"caenorhabditis_elegans","K02E11.2","sre","Sra"
"ascaris_suum","AgR033_g083_t02","srab","Sra"
"caenorhabditis_elegans","Y94A7B.1","srh","Str"
"caenorhabditis_elegans","Y27F2A.2","sri","Str"
"caenorhabditis_elegans","ZK863.5","srd","Str"
"caenorhabditis_elegans","T23D5.2","str","Str"
"caenorhabditis_elegans","F18E3.6","srw","Solo"
"brugia_malayi","Bm9890","srbc","Solo"
"ancylostoma_caninum","ANCCAN_06231","srsx","Solo"
"caenorhabditis_elegans","C24B9.15","srg","Srg"
"panagrellus_redivivus","Pan_g11842.t1","srt","Srg"
"onchocerca_volvulus","OVOC3382","srx","Srg"
"caenorhabditis_elegans","F28H7.9","sre","Sra"
"ascaris_suum","AgR033_g083_t04","srab","Sra"
"caenorhabditis_elegans","C47A10.10","srh","Str"
"caenorhabditis_elegans","F39E9.3","sri","Str"
"ancylostoma_caninum","ANCCAN_05071","srd","Str"
"caenorhabditis_elegans","C24B9.1","str","Str"
"caenorhabditis_elegans","T03E6.6","srw","Solo"
"onchocerca_volvulus","OVOC9680","srbc","Solo"
"strongyloides_ratti","SRAE_2000105700","srsx","Solo"
"caenorhabditis_elegans","C24B9.7","srg","Srg"
"panagrellus_redivivus","Pan_g11841.t1","srt","Srg"
"onchocerca_volvulus","OVOC12728","srx","Srg"
"panagrellus_redivivus","Pan_g4548.t1","sre","Sra"
"toxocara_canis","Tcan_16304.1","srab","Sra"
"caenorhabditis_elegans","C47A10.11","srh","Str"
"caenorhabditis_elegans","F34D6.5","sri","Str"
"pristionchus_pacificus","PPA01214","srd","Str"
"caenorhabditis_elegans","T08H10.2","str","Str"
"caenorhabditis_elegans","C06B8.9","srw","Solo"
"toxocara_canis","Tcan_04731.1","srbc","Solo"
"rhabditophanes_kr3021","RSKR_0000197300.1","srsx","Solo"
"caenorhabditis_elegans","ZK678.6","srg","Srg"
"panagrellus_redivivus","Pan_g12314.t1","srt","Srg"
"brugia_malayi","Bm11067","srx","Srg"
"panagrellus_redivivus","Pan_g4550.t1","sre","Sra"
"toxocara_canis","Tcan_11946.1","srab","Sra"
"caenorhabditis_elegans","C47A10.3","srh","Str"
"caenorhabditis_elegans","Y47G7B.3","sri","Str"
"pristionchus_pacificus","PPA24290","srd","Str"
"caenorhabditis_elegans","T19H12.7","str","Str"
"caenorhabditis_elegans","T05E12.4","srw","Solo"
"brugia_malayi","Bm9109","srbc","Solo"
"romanomermis_culicivorax","nRc.2.0.1.t01564","srsx","Solo"
"caenorhabditis_elegans","C24B9.12","srg","Srg"
"haemonchus_contortus","HCON_00129560","srt","Srg"
"brugia_malayi","Bm17819","srx","Srg"
"panagrellus_redivivus","Pan_g4551.t1","sre","Sra"
"panagrellus_redivivus","Pan_g17909.t1","srab","Sra"
"caenorhabditis_elegans","C47A10.2","srh","Str"
"caenorhabditis_elegans","F34D6.6","sri","Str"
"pristionchus_pacificus","PPA16579","srd","Str"
"caenorhabditis_elegans","C54F6.10","str","Str"
"caenorhabditis_elegans","F49A5.8","srw","Solo"
"brugia_malayi","Bm1294b","srbc","Solo"
"caenorhabditis_elegans","C13D9.5","srsx","Solo"
"caenorhabditis_elegans","C24B9.14","srg","Srg"
"caenorhabditis_elegans","Y73C8C.9","srt","Srg"
"brugia_malayi","Bm2337","srx","Srg"
"rhabditophanes_kr3021","RSKR_0000546050.1","sre","Sra"
"toxocara_canis","Tcan_18659.1","srab","Sra"
"caenorhabditis_elegans","K05D4.6a","srh","Str"
"caenorhabditis_elegans","T10D4.8","sri","Str"
"pristionchus_pacificus","PPA40866","srd","Str"
"caenorhabditis_elegans","T27C4.3","str","Str"
"caenorhabditis_elegans","C41G6.7","srw","Solo"
"brugia_malayi","Bm18561","srbc","Solo"
"caenorhabditis_elegans","C13D9.6","srsx","Solo"
"pristionchus_pacificus","PPA45938","srg","Srg"
"haemonchus_contortus","HCON_00041205","srt","Srg"
"onchocerca_volvulus","OVOC12227","srx","Srg"
"rhabditophanes_kr3021","RSKR_0000409050.1","sre","Sra"
"toxocara_canis","Tcan_11671.1","srab","Sra"
"caenorhabditis_elegans","F11A5.2","srh","Str"
"caenorhabditis_elegans","T10D4.12","sri","Str"
"pristionchus_pacificus","PPA29530","srd","Str"
"caenorhabditis_elegans","C05E4.2a","str","Str"
"caenorhabditis_elegans","T10H4.6","srw","Solo"
"syphacia_muris","SMUV_0000007901","srbc","Solo"
"caenorhabditis_elegans","F26G5.12","srsx","Solo"
"rhabditophanes_kr3021","RSKR_0000859440.1","srg","Srg"
"pristionchus_pacificus","PPA04184","srt","Srg"
"onchocerca_volvulus","OVOC12199","srx","Srg"
"rhabditophanes_kr3021","RSKR_0000022933.1","sre","Sra"
"haemonchus_contortus","HCON_00024890","srab","Sra"
"caenorhabditis_elegans","F11A5.1","srh","Str"
"caenorhabditis_elegans","Y27F2A.7","sri","Str"
"pristionchus_pacificus","PPA34495","srd","Str"
"caenorhabditis_elegans","C05E4.2b","str","Str"
"caenorhabditis_elegans","T10H4.5","srw","Solo"
"ascaris_suum","AgR006_g321_t05","srbc","Solo"
"caenorhabditis_elegans","F26G5.10","srsx","Solo"
"rhabditophanes_kr3021","RSKR_0000844950.1","srg","Srg"
"meloidogyne_hapla","MhA1_Contig2234.frz3.gene4","srt","Srg"
"brugia_malayi","Bm11061","srx","Srg"
"panagrellus_redivivus","Pan_g9711.t1","sre","Sra"
"brugia_malayi","Bm18045","srab","Sra"
"caenorhabditis_elegans","T03E6.5","srh","Str"
"caenorhabditis_elegans","Y27F2A.4","sri","Str"
"pristionchus_pacificus","PPA04819","srd","Str"
"caenorhabditis_elegans","F44G3.11a","str","Str"
"caenorhabditis_elegans","C41G6.15","srw","Solo"
"ascaris_suum","AgR006_g321_t03","srbc","Solo"
"caenorhabditis_elegans","Y97E10B.3","srsx","Solo"
"pristionchus_pacificus","PPA39619","srg","Srg"
"meloidogyne_hapla","MhA1_Contig2526.frz3.fgene1","srt","Srg"
"brugia_malayi","Bm11060","srx","Srg"
"panagrellus_redivivus","Pan_g4254.t2","sre","Sra"
"onchocerca_volvulus","OVOC12438","srab","Sra"
"caenorhabditis_elegans","C03G6.7","srh","Str"
"caenorhabditis_elegans","F33H12.5","sri","Str"
"pristionchus_pacificus","PPA40894","srd","Str"
"caenorhabditis_elegans","C55A1.5","str","Str"
"caenorhabditis_elegans","C41G6.3","srw","Solo"
"ascaris_suum","AgR006_g321_t06","srbc","Solo"
"caenorhabditis_elegans","Y97E10B.4","srsx","Solo"
"pristionchus_pacificus","PPA20890","srg","Srg"
"meloidogyne_hapla","MhA1_Contig2002.frz3.fgene1","srt","Srg"
"onchocerca_volvulus","OVOC12395","srx","Srg"
"panagrellus_redivivus","Pan_g18493.t1","sre","Sra"
"onchocerca_volvulus","OVOC2236","srab","Sra"
"caenorhabditis_elegans","C32B5.2","srh","Str"
"caenorhabditis_elegans","D2062.2","sri","Str"
"pristionchus_pacificus","PPA35133","srd","Str"
"caenorhabditis_elegans","T23D5.7","str","Str"
"caenorhabditis_elegans","M01B2.11","srw","Solo"
"ascaris_suum","AgR006_g321_t01","srbc","Solo"
"caenorhabditis_elegans","Y97E10B.2","srsx","Solo"
"pristionchus_pacificus","PPA41767","srg","Srg"
"meloidogyne_hapla","MhA1_Contig1886.frz3.gene4","srt","Srg"
"onchocerca_volvulus","OVOC12511","srx","Srg"
"panagrellus_redivivus","Pan_g14566.t1","sre","Sra"
"onchocerca_volvulus","OVOC12414","srab","Sra"
"caenorhabditis_elegans","W02H5.6a","srh","Str"
"caenorhabditis_elegans","F33H12.2","sri","Str"
"pristionchus_pacificus","PPA41593","srd","Str"
"caenorhabditis_elegans","T23D5.6","str","Str"
"caenorhabditis_elegans","T10H4.3","srw","Solo"
"ascaris_suum","AgR006_g321_t02","srbc","Solo"
"caenorhabditis_elegans","F40D4.5","srsx","Solo"
"pristionchus_pacificus","PPA27903","srg","Srg"
"panagrellus_redivivus","Pan_g19487.t1","srt","Srg"
"onchocerca_volvulus","OVOC12678","srx","Srg"
"panagrellus_redivivus","Pan_g10480.t1","sre","Sra"
"onchocerca_volvulus","OVOC2042","srab","Sra"
"caenorhabditis_elegans","F37B4.4","srh","Str"
"caenorhabditis_elegans","D2062.8","sri","Str"
"pristionchus_pacificus","PPA35673","srd","Str"
"caenorhabditis_elegans","Y73C8A.1b","str","Str"
"caenorhabditis_elegans","F59D6.5","srw","Solo"
"ascaris_suum","AgR006_g321_t04","srbc","Solo"
"caenorhabditis_elegans","F20E11.2","srsx","Solo"
"meloidogyne_hapla","MhA1_Contig917.frz3.gene12","srg","Srg"
